Time,RSteps,X,Y,Z
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,1,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
120,2,308,4399,85,232,26
